MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,12/13/2017,10:36,STTD,63.5,2,3.15%,0.0697,314.159,0.418478994,6,375.36,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,57,57,3.7,,,i,BSA.YOLO-17,DK,High sediment and low detritus.,sphere,12.77,,,,,,,,,,Length,2.9,3.7,1.9,2.8,2.4,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,10:36,STTD,63.5,2,3.15%,0.0697,314.159,0.418478994,6,375.36,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,,2,2,9.3,,,i,BSA.YOLO-17,DK,High sediment and low detritus.,prolate spheroid,95.58,,,,,,,,,,Length,7.5,9.3,5.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.0,5.6,4.3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,10:36,STTD,63.5,2,3.15%,0.0697,314.159,0.418478994,6,375.36,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,1,1,6.1,,,i,BSA.YOLO-17,DK,High sediment and low detritus.,cone + half sphere,113.98,,,,,,,,,,Length,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,10:36,STTD,63.5,2,3.15%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,357,718,1,0.9,0.9,c,BSA.YOLO-17,DK,High sediment and low detritus.,sphere,0.11,0.11,0.27,0.18,0.27,0.38,0.18,0.18,0.18,0.27,Length,0.7,0.6,0.6,0.8,0.7,0.8,0.9,0.7,0.7,0.7,0.8,0.6,0.8,0.6,1.0,0.7,0.8,0.9,0.6,0.7,0.6,0.9,0.8,1.0,0.6,0.7
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,13,,,i,BSA.YOLO-18,DK,Moderate sediment and detritus. ,elliptic prism,88.62,,,,,,,,,,Length,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,5.85,,,i,BSA.YOLO-18,DK,Moderate sediment and detritus. ,cylinder,101.47,,,,,,,,,,Length,3.8,4.6,3.7,3.1,3.7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.9,6.1,5.6,5.6,6.1,,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,30.5,,,i,BSA.YOLO-18,DK,Girdle view. Moderate sediment and detritus. ,elliptic prism,1073.17,,,,,,,,,,Length,30.5,30.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,57,57,3.46,,,i,BSA.YOLO-18,DK,Moderate sediment and detritus. ,sphere,21.69,,,,,,,,,,Length,3.5,1.9,4.6,3.7,2.8,4.3,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,7,7,5.58,,,i,BSA.YOLO-18,DK,Moderate sediment and detritus. ,prolate spheroid,76.59,,,,,,,,,,Length,5.6,5.6,5.0,5.6,7.4,4.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.1,5.0,4.6,5.6,6.1,4.3,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,19.45,,,i,BSA.YOLO-18,DK,Moderate sediment and detritus. ,prolate spheroid,1187.86,,,,,,,,,,Length,19.5,25.9,13.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,10.8,11.1,10.5,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,8.525,,,i,BSA.YOLO-18,DK,Moderate sediment and detritus. ,cone + half sphere,248.77,,,,,,,,,,Length,8.5,8.7,8.0,8.7,8.7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,5.6,3.7,4.3,4.6,,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,368,738,1,1,0.9,c,BSA.YOLO-18,DK,Moderate sediment and detritus. ,sphere,0.11,0.11,0.27,0.18,0.38,0.27,0.18,0.52,0.11,0.27,Length,0.7,0.6,0.6,0.8,0.7,0.9,0.8,0.7,1.0,0.6,0.8,0.7,0.6,0.7,0.8,0.9,0.9,0.7,0.8,0.6,1.0,0.8,0.6,0.7,0.8,0.6
Phyto,12/20/2017,12:31,LIS,65.0,2,3.08%,0.0697,314.159,0.418478994,6,375.36,1611,cf. Gymnodinium sp.,Soft Body,Gymnodinium,sp.,,5,5,8.9,,,i,BSA.YOLO-18,DK,Moderate sediment and detritus. ,ellipsoid,227.68,,,,,,,,,,Length,8.9,9.3,7.4,11.1,9.3,7.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.8,7.4,7.4,11.1,7.4,5.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,6.3,5.6,5.6,8.7,6.5,5.0,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,31,31,6.5,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,cylinder,153.97,,,,,,,,,,Length,4.6,3.1,5.6,4.6,4.3,5.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.5,5.6,7.4,6.5,6.5,6.5,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,540,Melosira varians,Diatom,Melosira,varians,,2,2,28.7,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,cylinder,12028.05,,,,,,,,,,Length,28.7,29.6,27.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,23.1,23.1,23.1,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,708,Nitzschia cf. gracilis,Diatom,Nitzschia,gracilis,,1,1,53.7,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,prism on parallelogram,456.99,,,,,,,,,,Length,53.7,53.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1019,cf. Botryococcus sp.,Soft Body,Botryococcus,sp.,,1,12,5.96,,,c,BSA.YOLO-19,DK,Low sediment and detritus.,ellipsoid,37.36,,,,,,,,,,Length,6.0,7.4,5.6,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.5,3.7,3.7,3.1,3.7,3.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.5,3.7,3.7,3.1,3.7,3.1,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,59,59,3.9,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,sphere,31.06,,,,,,,,,,Length,3.9,3.7,3.7,2.8,5.6,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,29.6,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,2 cones,55.95,,,,,,,,,,Length,29.6,29.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,2,2,9.75,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,2 cones,69.89,,,,,,,,,,Length,9.8,9.3,10.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1136,Monoraphidium griffithii,Soft Body,Monoraphidium,griffithii,,2,2,54.65,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,2 cones,48.36,,,,,,,,,,Length,54.7,55.6,53.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,3,3,6.07,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,prolate spheroid,95.10,,,,,,,,,,Length,6.1,7.4,4.3,6.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.5,6.5,4.3,5.6,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1692,Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,7.4,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,prolate spheroid,212.17,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1353,cf. Cryptomonas spp.,Soft Body,Cryptomonas,spp.,,7,7,12.02,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,prolate spheroid,406.83,,,,,,,,,,Length,12.0,11.1,11.1,17.9,10.2,9.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.0,7.4,9.3,8.7,7.4,7.4,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,328,659,1,0.9,0.9,c,BSA.YOLO-19,DK,Low sediment and detritus.,sphere,0.18,0.18,0.27,0.27,0.11,0.38,0.11,0.52,0.18,0.27,Length,0.7,0.7,0.7,0.8,0.8,0.6,0.9,0.6,1.0,0.7,0.8,0.6,0.8,0.9,0.7,0.9,0.8,0.6,0.6,0.7,0.8,0.7,0.6,0.8,0.6,0.7
Phyto,1/2/2018,11:56,STTD,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,3,45,1.34,,,i,BSA.YOLO-19,DK,Low sediment and detritus.,cylinder,0.55,,,,,,,,,,Length,1.3,1.3,0.9,1.3,1.9,1.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.7,0.6,0.6,0.9,0.9,0.6,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,15,15,12,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,cylinder,293.90,,,,,,,,,,Length,5.6,4.3,9.3,4.3,3.7,6.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.2,6.5,9.3,6.5,6.5,12.0,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,895,cf. Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,7.4,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,cylinder + 2 half spheres,79.57,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1020,cf. Carteria sp.,Soft Body,Carteria,sp.,,1,1,14.8,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,sphere,1309.62,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,53,53,4.6,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,sphere,16.21,,,,,,,,,,Length,3.1,3.1,1.9,4.6,3.7,2.4,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,18.5,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,2 cones,16.37,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1136,Monoraphidium griffithii,Soft Body,Monoraphidium,griffithii,,1,1,138.9,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,2 cones,122.91,,,,,,,,,,Length,138.9,138.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1289,Tetrastrum staurogeniaeforme,Soft Body,Tetrastrum,staurogeniaeforme,,1,4,3.7,,,c,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,sphere,26.52,,,,,,,,,,Length,3.7,3.7,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,5,5,6.5,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,prolate spheroid,79.61,,,,,,,,,,Length,5.6,5.6,4.6,5.6,6.5,5.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.2,5.6,4.3,5.6,5.6,5.0,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1324,cf. Ochromonas sp.,Soft Body,Ochromonas,sp.,,13,13,8.3,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,cone + half sphere,148.36,,,,,,,,,,Length,6.7,6.5,5.6,5.6,7.4,8.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.0,5.0,5.6,5.6,6.5,7.4,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,13,13,8.9,,,i,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,cone + half sphere,287.42,,,,,,,,,,Length,8.9,9.3,9.3,7.4,7.4,11.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.0,5.6,5.0,4.3,4.3,5.6,,,,,,,,,,,,,,,,,,,,
Phyto,12/13/2017,12:21,LIS,64.0,2,3.13%,0.0697,314.159,0.488225493,7,321.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,318,644,1,1,0.9,c,BSA.YOLO-20,DK,Moderate sediment and low detritus. Ciliates observed.,sphere,0.27,0.27,0.11,0.18,0.27,0.38,0.18,0.11,0.18,0.18,Length,0.8,0.8,0.8,0.6,0.7,0.8,0.9,0.7,0.6,0.7,0.7,0.8,0.9,1.0,0.8,0.7,0.6,0.6,0.7,0.8,0.7,0.8,0.9,0.6,1.0,0.7
Phyto,12/20/2017,10:40,STTD,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,47,47,3.7,,,i,BSA.YOLO-21,DK,Moderate sediment.,sphere,15.60,,,,,,,,,,Length,3.1,2.8,3.1,3.1,2.8,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,10:40,STTD,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,7.4,,,i,BSA.YOLO-21,DK,Moderate sediment.,2 cones,6.55,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,10:40,STTD,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,7,7,6.98,,,i,BSA.YOLO-21,DK,Moderate sediment.,cone + half sphere,130.61,,,,,,,,,,Length,7.0,7.4,7.4,8.0,5.6,6.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.3,3.7,2.8,3.7,3.7,2.4,,,,,,,,,,,,,,,,,,,,
Phyto,12/20/2017,10:40,STTD,61.0,2,3.28%,0.0697,314.159,0.488225493,7,321.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,368,741,1,1,0.9,c,BSA.YOLO-21,DK,Moderate sediment.,sphere,0.11,0.11,0.27,0.18,0.38,0.27,0.18,0.52,0.18,0.18,Length,0.7,0.6,0.6,0.8,0.7,0.9,0.8,0.7,1.0,0.7,0.7,0.6,0.8,0.9,0.8,0.6,0.7,0.6,0.6,0.9,0.8,0.8,0.6,0.7,0.7,1.0
Phyto,1/4/2018,9:30,SHR,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,9.8,,,i,BSA.YOLO-22,DK,Low sediment and detritus.,elliptic prism,79.74,,,,,,,,,,Length,9.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width ,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/4/2018,9:30,SHR,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,4.63,,,i,BSA.YOLO-22,DK,Low sediment and detritus.,cylinder,57.24,,,,,,,,,,Length,3.4,3.7,3.7,2.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,5.6,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/4/2018,9:30,SHR,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,1,24.1,,,i,BSA.YOLO-22,DK,Girdle view. Low sediment and detritus. ,gomphonemoid,4387.85,,,,,,,,,,Width,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,15.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,24.1,24.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/4/2018,9:30,SHR,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,5,5,21.6,,,i,BSA.YOLO-22,DK,Low sediment and detritus.,prism on parallelogram,129.36,,,,,,,,,,Length,21.6,16.7,16.7,17.2,28.7,28.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.9,3.7,3.7,3.7,4.3,4.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.0,3.1,3.1,2.8,3.1,3.1,,,,,,,,,,,,,,,,,,,,
Phyto,1/4/2018,9:30,SHR,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1007,Ulnaria ulna,Diatom,Ulnaria,ulna,,2,2,12.35,,,i,BSA.YOLO-22,DK,Low sediment and detritus. Fragment.,elliptic prism,301.47,,,,,,,,,,Length,12.4,11.7,13.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,4.3,6.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,1/4/2018,9:30,SHR,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,42,42,2.98,,,i,BSA.YOLO-22,DK,Low sediment and detritus.,sphere,13.86,,,,,,,,,,Length,3.0,1.9,2.8,3.7,2.8,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,1/4/2018,9:30,SHR,62.0,2,3.23%,0.0697,314.159,0.488225493,7,321.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,397,801,1,1,1,c,BSA.YOLO-22,DK,Low sediment and detritus.,sphere,0.38,0.11,0.11,0.18,0.27,0.18,0.27,0.11,0.18,0.52,Length,0.8,0.9,0.6,0.6,0.7,0.8,0.7,0.8,0.6,0.7,1.0,0.8,0.9,1.0,0.7,0.8,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.6,0.7,1.0
Phyto,1/2/2018,13:06,LIS,62.0,2,3.23%,0.0697,314.159,0.348732495,5,450.43,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,13,13,14.8,,,i,BSA.YOLO-23,DK,High sediment and low detritus. Ciliates observed.,cylinder,588.30,,,,,,,,,,Length,6.8,3.7,5.0,6.8,9.3,9.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,10.5,5.6,7.4,9.8,14.8,14.8,,,,,,,,,,,,,,,,,,,,
Phyto,1/2/2018,13:06,LIS,62.0,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,79,79,5,,,i,BSA.YOLO-23,DK,High sediment and low detritus. Ciliates observed.,sphere,28.28,,,,,,,,,,Length,3.8,5.0,3.7,2.8,2.8,4.6,,,,,,,,,,,,,,,,,,,,
