OrganismID,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,TaxonName,TaxonRank,LifeStage,CommonName,Classification,Organism
124,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,Order,adult,Calanoid,Calanoids,Calanoid adult
125,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Macrocyclops,albidus,Macrocyclops albidus,Species,NA,Macrocyclops albidus,Cyclopoids,Macrocyclops albidus
126,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Hesperodiaptomus,cf. californiensis,Hesperodiaptomus cf. californiensis,Species,NA,Hesperodiaptomus cf. californiensis,Calanoids,Hesperodiaptomus cf. californiensis
127,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Tropocyclops,NA,Tropocyclops sp.,Genus,NA,Tropocyclops sp.,Cyclopoids,Tropocyclops sp.
128,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Ergasilidae,Ergasilus,NA,Ergasilus sp.,Genus,NA,Ergasilus sp.,Cyclopoids,Ergasilus sp.
129,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Diaptomus,dorsalis,Diaptomus dorsalis,Species,NA,Diaptomus dorsalis,Calanoids,Diaptomus dorsalis
130,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Diaptomus,siciloides,Diaptomus siciloides,Species,NA,Diaptomus siciloides,Calanoids,Diaptomus siciloides
131,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Tropocyclops,prasinus,Tropocyclops prasinus,Species,NA,Tropocyclops prasinus,Cyclopoids,Tropocyclops prasinus
132,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Chydoridae,Anchistropus,NA,Anchistropus sp.,Species,NA,Anchistropus sp.,Cladocera,Anchistropus sp.
133,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,Cyclopida,NA,NA,Lernaeidae,Lernaea,NA,Lernaea sp.,Species,NA,Lernaea sp.,Cyclopoids,Lernaea sp.
