z,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,5.6,i,BSA.10-07,JW,Moderate sediment and detritus.,cone + half sphere,83.74,,,,,,,,,
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,6,6,5.6,i,BSA.10-07,JW,Moderate sediment and detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,494,1174,0.65,c,BSA.10-07,JW,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,1,2,2,i,BSA.10-07,JW,Moderate sediment and detritus.,sphere,4.19,,,,,,,,,
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1500,Planktolyngbya limnetica,Soft Body,Planktolyngbya,limnetica,,1,14,2,i,BSA.10-07,JW,Moderate sediment and detritus.,cylinder,1.01,,,,,,,,,
Phyto,10/23/2015,11:50,D6,64,3,4.69%,0.0697,314.159,1.813408974,26,57.75,1545,Euglena sp.,Soft Body,Euglena,sp.,,1,1,16.7,i,BSA.10-07,JW,Moderate sediment and detritus.,half ellipsoid + cone on an elliptic base,487.92,,,,,,,,,
Phyto,10/23/2015,9:55,D41,65,3,4.62%,0.0697,314.159,1.39492998,20,75.07,74,Amphora sp.,Diatom,Amphora,sp.,,2,2,41,i,BSA.10-08,JW,Low sediment and moderate detritus.,cymbelloid,382.69,,,,,,,,,
Phyto,10/23/2015,9:55,D41,65,3,4.62%,0.0697,314.159,1.39492998,20,75.07,1792,Odontella aurita,Diatom,Odontella,aurita,,1,1,31.5,i,BSA.10-08,JW,Low sediment and moderate detritus.,elliptic prism,5071.70,,,,,,,,,
Phyto,10/23/2015,9:55,D41,65,3,4.62%,0.0697,314.159,1.39492998,20,75.07,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,7.4,i,BSA.10-08,JW,Low sediment and moderate detritus.,sphere,108.49,,,,,,,,,
Phyto,10/23/2015,9:55,D41,65,3,4.62%,0.0697,314.159,1.39492998,20,75.07,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,3.7,i,BSA.10-08,JW,Low sediment and moderate detritus.,sphere,26.52,,,,,,,,,
Phyto,10/23/2015,9:55,D41,65,3,4.62%,0.0697,314.159,1.39492998,20,75.07,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,10,10,7.4,i,BSA.10-08,JW,Low sediment and moderate detritus.,cone + half sphere,172.03,,,,,,,,,
Phyto,10/23/2015,9:55,D41,65,3,4.62%,0.0697,314.159,1.39492998,20,75.07,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,7,7,5.6,i,BSA.10-08,JW,Low sediment and moderate detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/23/2015,9:55,D41,65,3,4.62%,0.0697,314.159,1.39492998,20,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,420,944,0.65,c,BSA.10-08,JW,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/23/2015,9:55,D41,65,3,4.62%,0.0697,314.159,1.39492998,20,75.07,1545,Euglena sp.,Soft Body,Euglena,sp.,,1,1,24,i,BSA.10-08,JW,Low sediment and moderate detritus.,half ellipsoid + cone on an elliptic base,557.95,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,74,Amphora sp.,Diatom,Amphora,sp.,,2,2,20.5,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,cymbelloid,114.82,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,91,Aulacoseira granulata,Diatom,Aulacoseira,granulata,,1,1,13,i,BSA.10-09,JW,Fragment. Moderate sediment and detritus. Many broken diatoms.,cylinder,1235.43,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,99,Bacillaria paxillifera,Diatom,Bacillaria,paxillifera,,3,3,81.5,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,box,3015.50,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,18.5,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,elliptic prism,319.66,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,11,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,cylinder,703.24,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,265,Diadesmis contenta,Diatom,Diadesmis,contenta,,1,1,9.3,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,elliptic prism,20.45,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,37,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,elliptic prism,795.65,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1038,Chlorella spp.,Soft Body,Chlorella,spp.,,28,28,0.8,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,sphere,0.27,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,2,2,5.6,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,ellipsoid,21.70,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,3,3,9.3,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,2 cones,4.87,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1200,Scenedesmus abundans,Soft Body,Scenedesmus,abundans,,1,4,5.6,c,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,prolate spheroid,11.73,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1346,Cryptomonas erosa,Soft Body,Cryptomonas,erosa,,4,4,14.8,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,prolate spheroid,424.35,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,10,10,7.4,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,cone + half sphere,172.03,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,9,9,5.6,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,360,789,0.65,c,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,13,16,3.7,c,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,sphere,26.52,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,1,16,1,c,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,cube,1.00,,,,,,,,,
Phyto,10/20/2015,10:35,MD10A,64,10,15.63%,0.0697,314.159,0.557971992,8,56.30,1647,Goniochloris mutica,Soft Body,Goniochloris,mutica,,2,2,15,i,BSA.10-09,JW,Moderate sediment and detritus. Many broken diatoms.,prism on triangle,337.50,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,4,7.4,i,BSA.10-10,KS,Fragment. High sediment and moderate detritus. Many broken diatoms.,cylinder,79.57,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,99,Bacillaria paxillifera,Diatom,Bacillaria,paxillifera,,1,1,9.3,i,BSA.10-10,KS,Fragment. High sediment and moderate detritus. Many broken diatoms.,box,223.67,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,11.1,i,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,elliptic prism,299.98,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,7.4,i,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,cylinder,159.13,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,20.4,i,BSA.10-10,KS,Fragment. High sediment and moderate detritus. Many broken diatoms.,elliptic prism,331.98,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,13,i,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,prism on parallelogram,45.70,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,12,12,16.7,c,BSA.10-10,KS,Girdle view. High sediment and moderate detritus. Many broken diatoms.,box,271.77,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,976,Synedra cf. ulna,Diatom,Synedra,ulna,,1,1,7.4,i,BSA.10-10,KS,Fragment. High sediment and moderate detritus. Many broken diatoms.,box,40.86,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,7,7,3.7,i,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,sphere,26.52,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,1357,Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,1,1,5.6,i,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,prolate spheroid,40.14,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,1768,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,3,3,11.1,i,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,cone + half sphere,535.45,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,8,8,5.6,i,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,341,878,0.65,c,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,3,12,1.9,c,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,sphere,3.59,,,,,,,,,
Phyto,10/19/2015,12:00,D19,61,8,13.11%,0.0697,314.159,0.488225493,7,80.43,1421,cf. Chroococcus minutus,Soft Body,Chroococcus,minutus,,3,5,5.6,c,BSA.10-10,KS,High sediment and moderate detritus. Many broken diatoms.,sphere,91.95,,,,,,,,,
Phyto,10/21/2015,11:35,D4,58,2,3.45%,0.0697,314.159,0.767211489,11,204.74,976,Synedra cf. ulna,Diatom,Synedra,ulna,,1,1,5.6,i,BSA.10-11,KS,Fragment. Moderate sediment and detritus.,box,60.21,,,,,,,,,
Phyto,10/21/2015,11:35,D4,58,2,3.45%,0.0697,314.159,0.767211489,11,204.74,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,14.8,i,BSA.10-11,KS,Moderate sediment and detritus.,cylinder,963.39,,,,,,,,,
Phyto,10/21/2015,11:35,D4,58,2,3.45%,0.0697,314.159,0.767211489,11,204.74,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,3.7,i,BSA.10-11,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,10/21/2015,11:35,D4,58,2,3.45%,0.0697,314.159,0.767211489,11,204.74,1710,Pseudoscourfieldia marina,Soft Body,Pseudoscourfieldia,marina,,1,1,3.7,i,BSA.10-11,KS,Moderate sediment and detritus.,ellipsoid,10.31,,,,,,,,,
Phyto,10/21/2015,11:35,D4,58,2,3.45%,0.0697,314.159,0.767211489,11,204.74,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,375,982,0.65,c,BSA.10-11,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/21/2015,11:35,D4,58,2,3.45%,0.0697,314.159,0.767211489,11,204.74,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,11,11,5.6,i,BSA.10-11,KS,Moderate sediment and detritus.,sphere,91.95,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,i,BSA.10-12,KS,Girdle view. Moderate sediment and detritus. Many broken diatoms.,elliptic prism,31.47,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,13,i,BSA.10-12,KS,Moderate sediment and detritus. Many broken diatoms.,elliptic prism,245.55,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,18.5,i,BSA.10-12,KS,Fragment. Moderate sediment and detritus. Many broken diatoms.,elliptic prism,499.97,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,3.7,i,BSA.10-12,KS,Moderate sediment and detritus. Many broken diatoms.,cylinder,20.43,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,241,Cymbella sp.,Diatom,Cymbella,sp.,,1,1,27.8,i,BSA.10-12,KS,Fragment. Moderate sediment and detritus. Many broken diatoms.,cymbelloid,482.68,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,14.8,i,BSA.10-12,KS,Degraded. Moderate sediment and detritus. Many broken diatoms.,elliptic prism,240.85,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,693,Nitzschia cf. dissipata,Diatom,Nitzschia,dissipata,,1,1,33.3,i,BSA.10-12,KS,Fragment. Moderate sediment and detritus. Many broken diatoms.,prism on parallelogram,227.94,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,35.2,i,BSA.10-12,KS,Moderate sediment and detritus. Many broken diatoms.,prism on parallelogram,240.94,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,32,32,13,c,BSA.10-12,KS,Girdle view. Moderate sediment and detritus. Many broken diatoms.,box,211.55,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,976,Synedra cf. ulna,Diatom,Synedra,ulna,,61,61,9.3,i,BSA.10-12,KS,Fragment. Moderate sediment and detritus. Many broken diatoms.,box,151.34,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,976,Synedra ulna,Diatom,Synedra,ulna,,1,1,446,i,BSA.10-12,KS,Moderate sediment and detritus. Many broken diatoms.,box,50546.46,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,1038,Chlorella spp.,Soft Body,Chlorella,spp.,,7,7,3.7,i,BSA.10-12,KS,Moderate sediment and detritus. Many broken diatoms.,sphere,26.52,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,1357,cf. Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,1,1,2.8,i,BSA.10-12,KS,Moderate sediment and detritus. Many broken diatoms.,prolate spheroid,5.29,,,,,,,,,
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,286,777,0.65,c,BSA.10-12,KS,Moderate sediment and detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/16/2015,7:45,C3A,62,10,16.13%,0.0697,314.159,0.627718491,9,50.05,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,6,6,5.6,i,BSA.10-12,KS,Moderate sediment and detritus. Many broken diatoms.,sphere,91.95,,,,,,,,,
Phyto,10/21/2015,10:00,D8,57,2,3.51%,0.0697,314.159,1.673915976,24,93.84,241,Cymbella sp.,Diatom,Cymbella,sp.,,1,1,28,i,BSA.10-13,JW,Fragment. Low sediment and moderate detritus.,cymbelloid,434.08,,,,,,,,,
Phyto,10/21/2015,10:00,D8,57,2,3.51%,0.0697,314.159,1.673915976,24,93.84,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,2,2,7.4,i,BSA.10-13,JW,Low sediment and moderate detritus.,cylinder,240.85,,,,,,,,,
Phyto,10/21/2015,10:00,D8,57,2,3.51%,0.0697,314.159,1.673915976,24,93.84,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,3.7,i,BSA.10-13,JW,Low sediment and moderate detritus.,sphere,26.52,,,,,,,,,
Phyto,10/21/2015,10:00,D8,57,2,3.51%,0.0697,314.159,1.673915976,24,93.84,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,7.4,i,BSA.10-13,JW,Low sediment and moderate detritus.,cone + half sphere,186.37,,,,,,,,,
Phyto,10/21/2015,10:00,D8,57,2,3.51%,0.0697,314.159,1.673915976,24,93.84,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,5.6,i,BSA.10-13,JW,Low sediment and moderate detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/21/2015,10:00,D8,57,2,3.51%,0.0697,314.159,1.673915976,24,93.84,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,432,1026,0.65,c,BSA.10-13,JW,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/22/2015,9:40,D7,58,2,3.45%,0.0697,314.159,1.813408974,26,86.62,664,Nitzschia acicularis,Diatom,Nitzschia,acicularis,,1,1,87,i,BSA.10-14,JW,Moderate sediment and detritus.,prism on parallelogram,121.80,,,,,,,,,
Phyto,10/22/2015,9:40,D7,58,2,3.45%,0.0697,314.159,1.813408974,26,86.62,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,5.6,i,BSA.10-14,JW,Moderate sediment and detritus.,cylinder,91.13,,,,,,,,,
Phyto,10/22/2015,9:40,D7,58,2,3.45%,0.0697,314.159,1.813408974,26,86.62,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,3.7,i,BSA.10-14,JW,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,10/22/2015,9:40,D7,58,2,3.45%,0.0697,314.159,1.813408974,26,86.62,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,7.4,i,BSA.10-14,JW,Moderate sediment and detritus.,cone + half sphere,172.03,,,,,,,,,
Phyto,10/22/2015,9:40,D7,58,2,3.45%,0.0697,314.159,1.813408974,26,86.62,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,4,4,5.6,i,BSA.10-14,JW,Moderate sediment and detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/22/2015,9:40,D7,58,2,3.45%,0.0697,314.159,1.813408974,26,86.62,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,412,940,0.65,c,BSA.10-14,JW,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,i,BSA.10-15,JW,Moderate sediment and low detritus.,elliptic prism,479.49,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,33,i,BSA.10-15,JW,Moderate sediment and low detritus.,prism on parallelogram,122.10,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,7.4,i,BSA.10-15,JW,Moderate sediment and low detritus.,cylinder,129.03,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,9.3,i,BSA.10-15,JW,Moderate sediment and low detritus.,sphere,219.13,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,1038,Chlorella spp.,Soft Body,Chlorella,spp.,,6,6,3.7,i,BSA.10-15,JW,Moderate sediment and low detritus.,sphere,26.52,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,9.3,i,BSA.10-15,JW,Moderate sediment and low detritus.,2 cones,19.48,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,1346,Cryptomonas erosa,Soft Body,Cryptomonas,erosa,,9,9,11,i,BSA.10-15,JW,Moderate sediment and low detritus.,prolate spheroid,315.39,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,12,12,7.4,i,BSA.10-15,JW,Moderate sediment and low detritus.,cone + half sphere,186.37,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,1731,Aphanizomenon cf. klebahnii ,Soft Body,Aphanizomenon,klebahnii,,2,45,5.6,f,BSA.10-15,JW,Moderate sediment and low detritus.,cylinder,60.21,,,,,,,,,
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,396,894,0.65,c,BSA.10-15,JW,Moderate sediment and low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,10/21/2015,14:00,EZ2,59,2,3.39%,0.0697,314.159,1.255436982,18,125.12,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,9,11,4.6,c,BSA.10-15,JW,Moderate sediment and low detritus.,sphere,50.96,,,,,,,,,
Phyto,10/23/2015,8:20,D41A,63,3,4.76%,0.0697,314.159,1.39492998,20,75.07,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,5.6,i,BSA.10-16,JW,Low sediment and moderate detritus.,cylinder,98.52,,,,,,,,,
Phyto,10/23/2015,8:20,D41A,63,3,4.76%,0.0697,314.159,1.39492998,20,75.07,1795,Tryblionella cf. hungarica,Diatom,Tryblionella,hungarica,,1,1,26,i,BSA.10-16,JW,Low sediment and moderate detritus.,elliptic prism,324.68,,,,,,,,,
Phyto,10/23/2015,8:20,D41A,63,3,4.76%,0.0697,314.159,1.39492998,20,75.07,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,5,5,5.6,i,BSA.10-16,JW,Low sediment and moderate detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,10/23/2015,8:20,D41A,63,3,4.76%,0.0697,314.159,1.39492998,20,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,438,1007,0.65,c,BSA.10-16,JW,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
