Date,SamplePeriod,Year,WYType,FlowPulseType,NetFlowDays,Month,StationCode,Region,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,Classification,Organism,Phylum,Class,Order,Family,Genus,Species,TaxonName,Taxlife,TaxonRank,CommonName,LifeStage,CPUEZoop,BPUE
8/3/2015,Before,2015,C,NF,42,Aug,BL5,Downstream,21.15,0.41,185,200,7.21,8.14,27.2,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,37.14267716,98.87380659
8/3/2015,Before,2015,C,NF,42,Aug,RYI,Downstream,22.36,0.7,202,213,7.39,7.87,10.8,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,324.2205172,863.0750167
8/3/2015,Before,2015,C,NF,42,Aug,STTD,Transition,21.71,0.22,204,218,7.34,7.79,45.6,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,520.4263504,1385.374945
8/3/2015,Before,2015,C,NF,42,Aug,LIB,Downstream,22.35,0.7,199,209,7.53,8.09,10.9,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,68.76040289,183.0401925
8/3/2015,Before,2015,C,NF,42,Aug,RVB,Downstream,22.87,0.7,266,270,7.52,7.82,12.4,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,949.2008987,2526.772792
10/1/2015,During,2015,C,NF,42,Oct,RYI,Downstream,20.26,1.5,227,250,7.77,7.37,6.08,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,3046.558341,3814.291043
10/1/2015,During,2015,C,NF,42,Oct,LIB,Downstream,20.04,1.7,223,246,7.8,7.51,4.2,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,6178.816967,7735.878843
10/1/2015,During,2015,C,NF,42,Oct,BL5,Downstream,19.27,1.2,239,269,8.07,7.74,5.07,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,1957.778756,2451.139003
10/1/2015,During,2015,C,NF,42,Oct,STTD,Transition,18.52,0.3,352,402,8.12,7.65,35.9,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,601.3753615,752.9219526
10/2/2015,After,2015,C,NF,42,Oct,LIS,Transition,19.79,0.28,634,705,7.83,6.1,40.4,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,12125.81564,15181.52118
10/13/2015,After,2015,C,NF,42,Oct,LIB,Downstream,17.96,2.6,196,227,7.56,8.8,2.3,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,3394.986798,4250.523471
10/13/2015,After,2015,C,NF,42,Oct,STTD,Transition,18.53,0.3,273,312,7.8,9.65,23.6,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,2574.297414,3223.020362
10/13/2015,After,2015,C,NF,42,Oct,LIS,Transition,20.9,0.2,323,350,7.94,6.43,51.4,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,3408.98767,4268.052563
8/4/2015,Before,2015,C,NF,42,Aug,LIS,Transition,23.2,0.28,270,280,8.04,7.38,58.5,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,4.236196658,11.2767555
8/18/2015,Before,2015,C,NF,42,Aug,RVB,Downstream,24.1,1.1,231,235,7.41,7.48,8.6,Calanoids,Acartiella sinensis,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartiella,sinensis,Acartiella sinensis,Acartiella sinensis NA,Species,Acartiella sinensis,NA,218.3123258,582.0206606
10/13/2015,After,2015,C,NF,42,Oct,RYI,Downstream,17.94,2.1,183,212,7.45,8.58,2.7,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,2070.138233,2591.813068
10/14/2015,After,2015,C,NF,42,Oct,I80,Upstream,21.11,0.25,823,889,8.06,4.76,36.9,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,25.5290249,31.96233918
11/10/2015,After,2015,C,NF,42,Nov,STTD,Transition,12.68,0.55,193,258,7.78,9.67,19.5,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,6.158771648,7.710782103
8/18/2015,Before,2015,C,NF,42,Aug,LIS,Transition,24.1,0.19,374,381,7.97,7.59,49.6,Calanoids,Osphranticum labronectum,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Osphranticum,labronectum,Osphranticum labronectum,Osphranticum labronectum NA,Species,Osphranticum labronectum,NA,24.92330104,74.76990312
8/18/2015,Before,2015,C,NF,42,Aug,STTD,Transition,24.69,0.35,225,229,7.78,7.1,34.1,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,77.88180186,207.3213566
8/18/2015,Before,2015,C,NF,42,Aug,RVB,Downstream,24.1,1.1,231,235,7.41,7.48,8.6,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,1255.295873,3341.597615
8/18/2015,Before,2015,C,NF,42,Aug,LIB,Downstream,23.7,1.5,183,190,7.74,7.57,4.4,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,296.5315743,789.3670507
8/18/2015,Before,2015,C,NF,42,Aug,BL5,Downstream,23.53,0.53,191,196,7.8,7.84,15.4,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,39.29794922,104.6111408
8/18/2015,Before,2015,C,NF,42,Aug,LIS,Transition,24.1,0.19,374,381,7.97,7.59,49.6,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,62.3082526,165.8645684
8/18/2015,Before,2015,C,NF,42,Aug,RYI,Downstream,23.86,1.55,190,194,7.49,7.49,6.2,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,549.7226832,1463.361783
6/30/2016,Before,2016,BN,MA-SR,19,Jun,RVB,Downstream,23.34,1,124,128,7.56,9.19,8.8,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,1941.535481,2430.802423
8/2/2016,After,2016,BN,MA-SR,19,Aug,BL5,Downstream,21.6,0.28,NA,235,8.71,8.26,34,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,51.77606664,64.82363543
7/26/2018,Before,2018,BN,MA-Ag,30,Jul,RVB,Downstream,23.1,1.1,129,134,7.37,7.85,6.4,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,223.6092297,279.9587556
7/26/2018,Before,2018,BN,MA-Ag,30,Jul,STTD,Transition,25.1,0.28,177,177,8.51,7.92,19.3,Calanoids,Sinocalanus doerrii copepodid,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Sinocalanus,doerrii,Sinocalanus doerrii,Sinocalanus doerrii copepodid,Species,Sinocalanus doerrii,copepodid,10.22432895,18.51625972
8/2/2018,Before,2018,BN,MA-Ag,30,Aug,STTD,Transition,22.8,0.4,166,173,8.5,8.42,15.8,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,11.49280344,14.38898991
8/19/2015,Before,2015,C,NF,42,Aug,I80,Upstream,22.4,0.4,930,978,8.08,2.55,74.2,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,44.78976244,119.2303476
8/13/2018,Before,2018,BN,MA-Ag,30,Aug,BL5,Downstream,22.4,0.9,NA,167,7.82,8.04,7,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,32.95220302,41.25615818
9/1/2015,During,2015,C,NF,42,Sep,RYI,Downstream,23.17,1.7,197,204,7.55,7.47,4.7,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,317.192876,844.3674359
9/1/2015,During,2015,C,NF,42,Sep,RVB,Downstream,23.7,1.2,209,214,7.44,7.31,7,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,11.24979355,29.94695042
9/1/2015,During,2015,C,NF,42,Sep,LIB,Downstream,23.1,2,196,204,7.74,8.12,3.7,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,109.5341898,291.5800133
9/1/2015,During,2015,C,NF,42,Sep,STTD,Transition,23.88,0.25,723,739,7.89,6.03,49.5,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,91.48547222,243.5343271
9/1/2015,During,2015,C,NF,42,Sep,BL5,Downstream,22.58,0.6,225,236,8.15,7.92,20.1,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,34.59099875,92.08123867
8/30/2018,During,2018,BN,MA-Ag,30,Aug,STTD,Transition,21.3,0.3,314,338,7.89,7.45,25.6,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,39.92780521,49.98961212
8/30/2018,During,2018,BN,MA-Ag,30,Aug,RYI,Downstream,20.1,1.7,157,173,7.77,8.63,2.4,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,95.49086409,119.5545618
9/27/2018,After,2018,BN,MA-Ag,30,Sep,RYI,Downstream,19.7,2.2,149,166,7.44,8.28,2.5,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,115.2046106,144.2361724
10/4/2018,After,2018,BN,MA-Ag,30,Oct,STTD,Transition,20.9,0.4,NA,279,8.4,7.6,10.4,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,12.82019374,16.05088256
11/1/2018,After,2018,BN,MA-Ag,30,Nov,BL5,Downstream,16,1.7,146,176,8.12,9.22,5.7,Calanoids,Pseudodiaptomus forbesi copepodid,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi copepodid,Species,Pseudodiaptomus forbesi,copepodid,30.18928823,37.79698886
9/2/2015,During,2015,C,NF,42,Sep,RCS,Upstream,22.86,0.34,578,603,7.07,NA,29.8,Calanoids,Arctodiaptomus dorsalis,Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Arctodiaptomus,dorsalis,Arctodiaptomus dorsalis,Arctodiaptomus dorsalis NA,Species,Arctodiaptomus dorsalis,NA,4.771515593,19.08606237
9/2/2015,During,2015,C,NF,42,Sep,LIS,Transition,22.99,0.3,653,679,7.62,5.18,34.1,Calanoids,Arctodiaptomus dorsalis,Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Arctodiaptomus,dorsalis,Arctodiaptomus dorsalis,Arctodiaptomus dorsalis NA,Species,Arctodiaptomus dorsalis,NA,13.86824775,55.47299099
8/7/2019,Before,2019,W,MA-Ag,26,Aug,BL5,Downstream,23,0.9,144,149,7.84,7.86,7.3,Calanoids,Sinocalanus doerrii copepodid,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Sinocalanus,doerrii,Sinocalanus doerrii,Sinocalanus doerrii copepodid,Species,Sinocalanus doerrii,copepodid,2.793225543,5.058531458
8/4/2015,Before,2015,C,NF,42,Aug,I80,Upstream,22.57,0.41,718,753,7.72,2.11,19.9,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,162.5576101,243.8364151
8/4/2015,Before,2015,C,NF,42,Aug,RD22,Upstream,23.07,0.36,1555,1615,7.5,5.9,19.7,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,3.135283371,4.702925056
8/4/2015,Before,2015,C,NF,42,Aug,LIS,Transition,23.2,0.28,270,280,8.04,7.38,58.5,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,597.3037288,895.9555933
9/2/2015,During,2015,C,NF,42,Sep,LIS,Transition,22.99,0.3,653,679,7.62,5.18,34.1,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,13.86824775,36.9172755
9/15/2015,During,2015,C,NF,42,Sep,RVB,Downstream,22.17,1.4,282,291,7.6,7.61,5.9,Calanoids,Acartiella sinensis,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartiella,sinensis,Acartiella sinensis,Acartiella sinensis NA,Species,Acartiella sinensis,NA,17.48930417,46.62648491
8/18/2015,Before,2015,C,NF,42,Aug,STTD,Transition,24.69,0.35,225,229,7.78,7.1,34.1,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,760.1263862,1140.189579
8/18/2015,Before,2015,C,NF,42,Aug,RVB,Downstream,24.1,1.1,231,235,7.41,7.48,8.6,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,11898.02176,17847.03264
8/18/2015,Before,2015,C,NF,42,Aug,LIS,Transition,24.1,0.19,374,381,7.97,7.59,49.6,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,2592.023308,3888.034962
8/19/2015,Before,2015,C,NF,42,Aug,RCS,Upstream,24.95,0.29,698,699,7.76,3.77,38.4,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,15.28500399,22.92750599
9/15/2015,During,2015,C,NF,42,Sep,BL5,Downstream,20.27,0.6,358,397,8.05,8.32,17.9,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,176.4340343,469.6673993
9/15/2015,During,2015,C,NF,42,Sep,RVB,Downstream,22.17,1.4,282,291,7.6,7.61,5.9,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,87.44652084,232.7826385
9/15/2015,During,2015,C,NF,42,Sep,STTD,Transition,21.59,0.3,605,646,7.68,6.15,27.9,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,90.96690275,242.1538951
9/15/2015,During,2015,C,NF,42,Sep,LIB,Downstream,21.35,1.7,257,276,7.84,7.74,4.2,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,655.2502655,1744.276207
9/15/2015,During,2015,C,NF,42,Sep,RYI,Downstream,21.61,1.5,255,272,7.75,7.57,4.3,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,130.8640016,348.3599722
8/19/2015,Before,2015,C,NF,42,Aug,RD22,Upstream,25.08,NA,798,799,7.91,1.24,8.5,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,28.62060842,42.93091263
9/2/2015,During,2015,C,NF,42,Sep,I80,Upstream,22.98,0.41,636,662,7.56,3.18,42.4,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,24.26067325,36.39100987
9/2/2015,During,2015,C,NF,42,Sep,RCS,Upstream,22.86,0.34,578,603,7.07,NA,29.8,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,23.85757796,35.78636695
9/2/2015,During,2015,C,NF,42,Sep,LIS,Transition,22.99,0.3,653,679,7.62,5.18,34.1,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,180.2872207,270.4308311
9/2/2015,During,2015,C,NF,42,Sep,RD22,Upstream,22.23,0.3,605,639,7.71,3.71,31.6,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,10.00194033,15.00291049
10/1/2015,During,2015,C,NF,42,Oct,RVB,Downstream,20.48,0.9,291,319,7.8,7.49,9.25,Calanoids,Acartiella sinensis,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartiella,sinensis,Acartiella sinensis,Acartiella sinensis NA,Species,Acartiella sinensis,NA,60.77614824,162.0292112
9/15/2015,During,2015,C,NF,42,Sep,RVB,Downstream,22.17,1.4,282,291,7.6,7.61,5.9,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,5176.834034,7765.251051
10/1/2015,During,2015,C,NF,42,Oct,LIB,Downstream,20.04,1.7,223,246,7.8,7.51,4.2,Calanoids,Eurytemora affinis adult,Arthropoda,Hexanauplia,Calanoida,Temoridae,Eurytemora,affinis,Eurytemora affinis,Eurytemora affinis adult,Species,Eurytemora affinis,adult,793.9262025,2435.765589
10/1/2015,During,2015,C,NF,42,Oct,RYI,Downstream,20.26,1.5,227,250,7.77,7.37,6.08,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,988.9351682,2632.545418
10/1/2015,During,2015,C,NF,42,Oct,RVB,Downstream,20.48,0.9,291,319,7.8,7.49,9.25,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,680.6928603,1812.004394
10/1/2015,During,2015,C,NF,42,Oct,STTD,Transition,18.52,0.3,352,402,8.12,7.65,35.9,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,51.91729739,138.2038457
10/1/2015,During,2015,C,NF,42,Oct,BL5,Downstream,19.27,1.2,239,269,8.07,7.74,5.07,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Hexanauplia,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,Species,Pseudodiaptomus forbesi,adult,66.49059928,176.9979753
9/15/2015,During,2015,C,NF,42,Sep,STTD,Transition,21.59,0.3,605,646,7.68,6.15,27.9,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,68.22517707,102.3377656
9/15/2015,During,2015,C,NF,42,Sep,BL5,Downstream,20.27,0.6,358,397,8.05,8.32,17.9,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,4738.514064,7107.771097
9/15/2015,During,2015,C,NF,42,Sep,LIS,Transition,21.48,0.32,594,638,7.8,3.81,23.3,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,9.96569179,14.94853768
9/16/2015,During,2015,C,NF,42,Sep,RCS,Upstream,21.15,0.36,554,598,7.6,4.64,22.3,Calanoids,Calanoid copepodids,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA,Calanoida,Calanoida copepodid,Order,Calanoid,copepodid,11.26637543,16.89956315
10/2/2015,After,2015,C,NF,42,Oct,RCS,Upstream,20.03,0.3,589,650,7.73,4.79,32.7,Calanoids,Arctodiaptomus dorsalis,Arthropoda,Hexanauplia,Calanoida,Diaptomidae,Arctodiaptomus,dorsalis,Arctodiaptomus dorsalis,Arctodiaptomus dorsalis NA,Species,Arctodiaptomus dorsalis,NA,2.320897142,9.283588567
