,Taxlife,Date,Year,Month,DateTime,Time,StationCode,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,FlowMeterSpeed,StartMeter,EndMeter,VolMeso,SubMeso,VolMicro,SubMicro,Subsample,OrganismID,Classification,Organism,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,TaxonName,TaxonRank,CommonName,LifeStage,Count,CPUEZoop,WYType,FlowPulseType,NetFlowDays,SamplePeriod,CarbonWeight,BPUE
1611,Ceriodaphnia sp. NA,10/16/2019,2019,10,10/16/2019 12:03,12:03:00,STTD,16.9,0.5,191,226,8.45,9.04,16.4,Low,739813,741086,52,2.4,52,8.7,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,2,3.013441806,W,MA-Ag,26,After,4,12.05376722
1612,Ceriodaphnia sp. NA,10/2/2015,2015,10,10/2/2015 6:13,10:13:00,RD22,20.1,0.22,701,636,7.92,4.58,38.9,Low,971773,973000,56,2,56,2,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,10,20.20145189,C,NF,42,After,4,80.80580757
1613,Ceriodaphnia sp. NA,10/30/2012,2012,10,10/30/2012 6:41,10:41:00,STTD,16.7,0.21,557,NA,7.84,7.26,42,Low,982000,983000,2000,1,2000,1,2,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,11,973.7821293,BN,CA,38,After,4,3895.128517
1614,Ceriodaphnia sp. NA,10/2/2015,2015,10,10/2/2015 7:20,11:20:00,I80,19.42,0.28,631,707,7.96,5.06,30.1,Low,971379,972000,43,0.2,43,2.7,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,30.6489764,C,NF,42,After,4,122.5959056
1615,Ceriodaphnia sp. NA,10/1/2019,2019,10,10/1/2019 8:56,8:56:00,RMB,19.2,0.28,512,575,7.59,7.07,32.6,Low,918486,918832,49,1,49,3,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,6,75.22121545,W,MA-Ag,26,After,4,300.8848618
1616,Ceriodaphnia sp. NA,9/6/2018,2018,9,9/6/2018 5:26,9:26:00,SHR,19.9,1.3,140,155,7.59,8.54,5.7,Low,682887,686000,70,2.2,70,3.4,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,29,26.23997104,BN,MA-Ag,30,During,4,104.9598842
1617,Ceriodaphnia sp. NA,10/8/2014,2014,10,10/8/2014 7:30,11:30:00,I80,21,0.2,618,NA,7.06,6.16,24.6,Low,737982,738800,300,1,300,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,6.493323823,C,NF,15,After,4,25.97329529
1618,Ceriodaphnia sp. NA,8/20/2019,2019,8,8/20/2019 11:23,11:23:00,LIS,24.1,0.25,449,458,8.31,7.86,47.8,Low,929512,931000,40,0.9,40,0.6,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,2,5.288270497,W,MA-Ag,26,Before,4,21.15308199
1619,Ceriodaphnia sp. NA,9/10/2014,2014,9,9/10/2014 7:37,11:37:00,RYI,21.2,NA,194,NA,7.31,7.63,9.55,Low,775497,777300,1800,1,1800,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,17.67567017,C,NF,15,During,4,70.70268069
1620,Ceriodaphnia sp. NA,9/19/2018,2018,9,9/19/2018 8:49,12:49:00,BL5,19.2,1.6,266.5,296.2,8.71,8.83,9.2,Low,978320,979214,97,1.6,97,0.2,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,3,18.00962221,BN,MA-Ag,30,During,4,72.03848882
1621,Ceriodaphnia sp. NA,9/25/2014,2014,9,9/25/2014 6:23,10:23:00,RD22,21.7,0.33,609,NA,7.2,7.18,22.8,Low,753936,755030,75,2,75,2,6,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,10,5.057452475,C,NF,15,After,4,20.2298099
1622,Ceriodaphnia sp. NA,9/2/2015,2015,9,9/2/2015 6:57,10:57:00,I80,22.98,0.41,636,662,7.56,3.18,42.4,Low,563520,564500,94,1.4,94,1.4,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,18,109.1730296,C,NF,42,During,4,436.6921184
1623,Ceriodaphnia sp. NA,9/3/2019,2019,9,9/3/2019 9:50,9:50:00,I80,24.1,0.22,521,530,7.84,4.79,42.2,Low,928348,929440,86,1.75,86,1.75,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,27,107.5649162,W,MA-Ag,26,During,4,430.259665
1624,Ceriodaphnia sp. NA,8/2/2016,2016,8,8/2/2016 6:45,10:45:00,BL5,21.6,0.28,NA,235,8.71,8.26,34,Regular,997000,998648,405,1.8,405,1.8,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,25.88803332,BN,MA-SR,19,After,4,103.5521333
1625,Ceriodaphnia sp. NA,9/13/2017,2017,9,9/13/2017 7:52,11:52:00,I80,24.7,0.2,728,732,8,5.25,47.2,Low,967293,968349,85,0.4,85,0.7,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,9,160.3269906,W,CA,12,During,4,641.3079622
1626,Ceriodaphnia sp. NA,11/13/2012,2012,11,11/13/2012 4:05,9:05:00,STTD,13,0.21,539,NA,7.86,7.71,71,Low,980000,982000,2000,1,1000,1,3,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,29.50854937,BN,CA,38,After,4,118.0341975
1627,Ceriodaphnia sp. NA,9/13/2017,2017,9,9/13/2017 6:13,10:13:00,RD22,24.3,0.26,699,708,7.99,4.66,28.8,Low,968372,969846,97,0.3,97,6.3,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,19,368.956964,W,CA,12,During,4,1475.827856
1628,Ceriodaphnia sp. NA,9/24/2014,2014,9,9/24/2014 8:15,12:15:00,RYI,21.6,1.1,205,NA,7.7,8.38,6.7,Low,760662,762000,300,1,300,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,3.969760005,C,NF,15,After,4,15.87904002
1629,Ceriodaphnia sp. NA,8/23/2013,2013,8,8/23/2013 5:36,9:36:00,STTD,21.3,0.14,191,NA,7.94,8.31,68.5,Low,938154,940000,2000,1,500,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,19.18215561,D,NF,42,During,4,76.72862242
1630,Ceriodaphnia sp. NA,8/3/2017,2017,8,8/3/2017 6:00,10:00:00,RD22,26.6,0.26,723,702,7.97,7.14,33.8,Low,982222,983250,80,1.2,80,11.15,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,15,86.1144437,W,CA,12,Before,4,344.4577748
1631,Ceriodaphnia sp. NA,8/2/2018,2018,8,8/2/2018 7:41,11:41:00,BL5,21.3,0.7,146,157,8.13,7.96,10,Low,797533,800600,60,0.1,60,0.15,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,17.31835307,BN,MA-Ag,30,Before,4,69.27341229
1632,Ceriodaphnia sp. NA,9/24/2014,2014,9,9/24/2014 5:47,9:47:00,STTD,21.3,0.24,340,NA,7.97,7.84,48,Low,763594,765000,2000,1,400,1,4,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,3,94.44414806,C,NF,15,After,4,377.7765923
1633,Ceriodaphnia sp. NA,7/18/2017,2017,7,7/18/2017 4:42,8:42:00,SHR,22.3,1.7,104,110,7.58,8.5,7.6,Low,45368,46000,85,4,85,11,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,3,8.929604537,W,CA,12,Before,4,35.71841815
1634,Ceriodaphnia sp. NA,8/3/2017,2017,8,8/3/2017 7:33,11:33:00,I80,25.8,0.15,847,834,8.13,5.77,85.9,Low,981225,982216,60,0.1,60,0.5,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,10,535.9776879,W,CA,12,Before,4,2143.910752
1635,Ceriodaphnia sp. NA,10/13/2015,2015,10,10/13/2015 7:00,11:00:00,BL5,18.1,0.06,222,255,8.12,9.25,7.3,Low,989577,991660,55,0.2,55,0.8,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,10,116.8725551,C,NF,42,After,4,467.4902205
1636,Ceriodaphnia sp. NA,8/2/2017,2017,8,8/2/2017 9:09,13:09:00,RYI,23.3,1.8,120,124,7.57,7.98,3.4,Low,15596,17800,75,10,75,14,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,0.301244265,W,CA,12,Before,4,1.204977062
1637,Ceriodaphnia sp. NA,8/7/2019,2019,8,8/7/2019 12:39,12:39:00,STTD,24.1,0.4,191,194,8.62,7.87,21.1,Low,971346,974965,74,4,74,8,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,5,2.262675449,W,MA-Ag,26,Before,4,9.050701797
1638,Ceriodaphnia sp. NA,7/20/2016,2016,7,7/20/2016 8:55,12:55:00,I80,24.83,0.27,586,588,7.88,4.61,47.8,Low,963869,965140,86,0.15,86,0.15,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,6,239.5973482,BN,MA-SR,19,During,4,958.3893927
1639,Ceriodaphnia sp. NA,6/13/2016,2016,6,6/13/2016 4:53,8:53:00,SHR,20.1,1.2,93,102,6.98,9.54,9.4,Regular,0,4680,78,3,78,3,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,5,5.267096162,BN,MA-SR,19,Before,4,21.06838465
1640,Ceriodaphnia sp. NA,9/16/2013,2013,9,9/16/2013 5:40,9:40:00,SHR,20.7,1.2,148,NA,7.92,8.65,5.7,Low,930652,933000,100,1,100,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,77,58.06196682,D,NF,42,During,4,232.2478673
1641,Ceriodaphnia sp. NA,9/3/2019,2019,9,9/3/2019 12:04,12:04:00,RD22,23.6,0.28,504,518,7.66,4.19,31.6,Low,925713,927000,58,1,58,3.6,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,52,207.4540441,W,MA-Ag,26,During,4,829.8161763
1642,Ceriodaphnia sp. NA,8/6/2014,2014,8,8/6/2014 5:38,9:38:00,RCS,24.9,0.22,672,NA,7.62,2.12,46.1,Low,836109,837200,300,1,450,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,131,637.7741469,C,NF,15,Before,4,2551.096587
1643,Ceriodaphnia sp. NA,7/7/2016,2016,7,7/7/2016 7:46,11:46:00,BL5,20.49,0.24,130,142,7.81,9.81,47.7,Regular,41000,43275,488,0.3,488,0.15,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,9,1220.206752,BN,MA-SR,19,Before,4,4880.827009
1644,Ceriodaphnia sp. NA,9/27/2018,2018,9,9/27/2018 8:24,12:24:00,STTD,21.9,0.41,530,563,8.13,7.89,16.5,Low,640579,641542,35,0.5,35,0.9,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,7,45.04420309,BN,MA-Ag,30,After,4,180.1768124
1645,Ceriodaphnia sp. NA,8/3/2015,2015,8,8/3/2015 7:30,11:30:00,BL5,21.15,0.41,185,200,7.21,8.14,27.2,Low,629560,632000,455,4,455,10,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,16,66.03142606,C,NF,42,Before,4,264.1257042
1646,Ceriodaphnia sp. NA,9/13/2017,2017,9,9/13/2017 8:43,12:43:00,LIB,21.9,1,140,149,7.62,8.24,4,Low,945125,947000,55,0.2,55,1.7,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,7,90.88633207,W,CA,12,During,4,363.5453283
1647,Ceriodaphnia sp. NA,8/17/2015,2015,8,8/17/2015 4:59,8:59:00,SHR,24.51,2.6,147,149,7.5,7.76,2.4,Low,614365,617000,62,50,62,62,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,10,0.416591285,C,NF,42,Before,4,1.666365141
1648,Ceriodaphnia sp. NA,9/17/2019,2019,9,9/17/2019 12:59,12:59:00,RD22,21.6,0.24,488,522,7.65,5.24,28.2,Low,918869,920245,80,1.5,80,5.4,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,17,58.33085341,W,MA-Ag,26,During,4,233.3234136
1649,Ceriodaphnia sp. NA,10/15/2019,2019,10,10/15/2019 10:49,10:49:00,RCS,15.8,0.24,493,598,7.58,6.62,23.6,Low,916166,916690,48,0.3,48,0.08,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,5,135.1536613,W,MA-Ag,26,After,4,540.614645
1650,Ceriodaphnia sp. NA,10/13/2015,2015,10,10/13/2015 8:18,12:18:00,RYI,17.94,2.1,183,212,7.45,8.58,2.7,Low,983755,986420,41,0.2,41,1.7,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,17,115.7643091,C,NF,42,After,4,463.0572363
1651,Ceriodaphnia sp. NA,9/19/2017,2017,9,9/19/2017 5:35,9:35:00,SHR,18.9,0.95,101,116,7.55,9.14,3.5,Low,936617,939000,89,3.6,89,11.1,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,22,20.20483273,W,CA,12,After,4,80.81933092
1652,Ceriodaphnia sp. NA,10/2/2013,2013,10,10/2/2013 5:20,9:20:00,SHR,17.8,1.25,119,NA,7.97,9.56,3.9,Low,927509,930000,75,2,75,2,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,37,9.8618496,D,NF,42,During,4,39.4473984
1653,Ceriodaphnia sp. NA,10/25/2018,2018,10,10/25/2018 7:43,11:43:00,I80,15.3,0.51,928,1144,7.94,8.5,14.7,Low,937716,938500,87,1.2,87,0.6,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,4,32.74545657,BN,MA-Ag,30,After,4,130.9818263
1654,Ceriodaphnia sp. NA,8/6/2019,2019,8,8/6/2019 9:26,9:26:00,I80,24.4,0.13,687,695,8.12,6.59,79.6,Low,890725,891431,60,0.1,60,0.3,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,9,677.1083567,W,MA-Ag,26,Before,4,2708.433427
1655,Ceriodaphnia sp. NA,11/30/2011,2011,11,11/30/2011 3:00,8:00:00,SHR,11.5,0.72,121,NA,7.19,10.58,NA,Low,1417,2001,300,1,125,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,40,363.8040334,W,NF,63,After,4,1455.216133
1656,Ceriodaphnia sp. NA,10/7/2014,2014,10,10/7/2014 8:33,12:33:00,RVB,21.4,NA,232,NA,6.62,8.84,8.8,Low,739996,741000,2000,1,2000,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,35.26918252,C,NF,15,After,4,141.0767301
1657,Ceriodaphnia sp. NA,8/20/2014,2014,8,8/20/2014 7:02,11:02:00,RD22,23.3,0.35,660,NA,7.97,7.44,22,Low,827959,829080,75,4,75,4,7,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,4,0.846109801,C,NF,15,Before,4,3.384439204
1658,Ceriodaphnia sp. NA,8/19/2015,2015,8,8/19/2015 7:30,11:30:00,I80,22.4,0.4,930,978,8.08,2.55,74.2,Low,585656,587000,68,0.5,68,1,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,32,286.6544796,C,NF,42,Before,4,1146.617918
1659,Ceriodaphnia sp. NA,9/13/2017,2017,9,9/13/2017 9:06,13:06:00,LIS,25.1,0.17,690,688,8.25,6.11,30.2,Low,966590,967265,65,1,65,1,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,5,42.62346021,W,CA,12,During,4,170.4938408
1660,Ceriodaphnia sp. NA,8/18/2015,2015,8,8/18/2015 7:00,11:00:00,BL5,23.53,0.53,191,196,7.8,7.84,15.4,Low,605636,609000,112,0.3,112,2.9,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,3,29.47346192,C,NF,42,Before,4,117.8938477
1661,Ceriodaphnia sp. NA,9/18/2019,2019,9,9/18/2019 10:12,10:12:00,LIB,20,1.4,160,177,7.6,8.15,6.2,Low,804425,807795,75,0.3,75,2.7,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,4,26.26873831,W,MA-Ag,26,During,4,105.0749533
1662,Ceriodaphnia sp. NA,8/7/2012,2012,8,8/7/2012 6:07,10:07:00,RCS,22,0.14,189,NA,7.85,8.44,103,Low,995975,998000,1000,1,450,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,8.743273888,BN,CA,38,Before,4,34.97309555
1663,Ceriodaphnia sp. NA,8/23/2013,2013,8,8/23/2013 7:55,11:55:00,SHR,21.3,0.88,149,NA,7.76,8.96,8.7,Low,937114,937700,100,1,100,1,5,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,45,135.960893,D,NF,42,During,4,543.8435721
1664,Ceriodaphnia sp. NA,7/20/2017,2017,7,7/20/2017 5:17,9:17:00,RCS,26.2,NA,680,665,7.83,4.02,43.7,Low,990890,991680,50,0.6,50,0.6,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,14,130.7340795,W,CA,12,Before,4,522.936318
